project,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,memory_usage,total_violations,violations,unique_violations,unique_violations_count,violations_by_location,total_monitors,monitors,total_events,events,end_to_end_start_time,end_to_end_end_time,time_instrumentation_start,time_instrumentation_end,time_create_monitor_end,time_post_run_start,time_post_run_end,pymop_ast_time,pymop_start_time
APS-Networks-bfrt-helper,dynapyt,129,0,0,0,0,0,0.62,dynapyt,3.5679588317871094,0.0,0.905834436416626,0.0,4.473793268203735,51552,0,,0,,,x,,x,,1769388010.3986502,1769388011.3044846,1769388006.7961004,1769388010.3640592,x,x,x,x,x
APS-Networks-bfrt-helper,dylin,129,0,0,0,0,0,0.58,dylin,3.466083526611328,0.0,0.8841464519500732,0.34116482734680176,4.350229978561401,52368,0,,0,,,x,,x,,1769388132.9249833,1769388133.8091297,1769388129.4229507,1769388132.8890343,x,1769388133.845086,1769388134.186251,x,x
APS-Networks-bfrt-helper,D,129,0,0,0,0,0,10.38,pymop_libs,6.858088513793946,0.0077228546142578125,12.139067867813111,0.0,19.004879236221313,198700,1,WrongTypeAddedAnalysis=1,1,WrongTypeAddedAnalysis=1,/home/runner/.local/lib/python3.12/site-packages/_pytest/fixtures.py:1851:WrongTypeAddedAnalysis=1,26,UnsafeListIterator=1<>Console_CloseReader=1<>CreateWidgetOnSameFrameCanvas=1<>WrongTypeAddedAnalysis=1<>Arrays_Comparable=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>Session_DataMustOpenInBinary=1<>StringConcatAnalysis=1<>Console_CloseWriter=1<>BuiltinAllAnalysis=1<>InPlaceSortAnalysis=1<>Thread_OverrideRun=1<>socket_setdefaulttimeout=1<>ItemInList=1<>Console_CloseErrorWriter=1<>socket_create_connection=1<>HostnamesTerminatesWithSlash=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>Sets_Comparable=1<>PriorityQueue_NonComparable=1<>RandomRandrange_MustNotUseKwargs=1<>RandomParams_NoPositives=1<>StringStripAnalysis=1<>socket_socket_settimeout=1<>NLTK_regexp_span_tokenize=1<>Requests_DataMustOpenInBinary=1,1391265,UnsafeListIterator=for_loop_start=26393<>UnsafeListIterator=end_loop_list_changed=26393<>WrongTypeAddedAnalysis=check_append=255241<>WrongTypeAddedAnalysis=check_insert=255241<>WrongTypeAddedAnalysis=check_extend=255241<>WrongTypeAddedAnalysis=check_add=255241<>WrongTypeAddedAnalysis=check_add_assign=11686<>Arrays_Comparable=invalid_sorted=4<>StringConcatAnalysis=add=11686<>BuiltinAllAnalysis=violation=251628<>InPlaceSortAnalysis=list_used=41465<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>ItemInList=list_contains=650<>Sets_Comparable=invalid_sorted=4<>StringStripAnalysis=strip=387,1769388355.8024447,1769388374.807324,x,1769388361.3620932,1769388361.369816,x,x,1.29844,1769388358.7126188
APS-Networks-bfrt-helper,dynapyt_libs,129,0,0,0,0,0,19.45,dynapyt_libs,1991.4337277412415,0.0,21.630897998809814,0.0,2013.0646257400513,54256,0,,0,,,x,,x,,1769390422.6657245,1769390444.2966225,1769388426.155418,1769390417.5891457,x,x,x,x,x
Adeniyilowee-CI-CD-with-Github-Actions,original,11,0,1,2,0,0,0.09,original,0.0,0.0,0.38938140869140625,0.0,0.38938140869140625,36408,x,,x,x,,x,,x,,1768888344.0865173,1768888344.4758987,x,x,x,x,x,x,x
Adeniyilowee-CI-CD-with-Github-Actions,D,11,0,1,2,0,0,0.18,pymop,2.9127140413360597,0.0075991153717041016,0.5975713361663818,0.0,3.5178844928741455,165136,0,,0,,,25,UnsafeListIterator=1<>Console_CloseReader=1<>WrongTypeAddedAnalysis=1<>Arrays_Comparable=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>Session_DataMustOpenInBinary=1<>StringConcatAnalysis=1<>Console_CloseWriter=1<>BuiltinAllAnalysis=1<>InPlaceSortAnalysis=1<>Thread_OverrideRun=1<>socket_setdefaulttimeout=1<>ItemInList=1<>Console_CloseErrorWriter=1<>socket_create_connection=1<>HostnamesTerminatesWithSlash=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>Sets_Comparable=1<>PriorityQueue_NonComparable=1<>RandomRandrange_MustNotUseKwargs=1<>RandomParams_NoPositives=1<>StringStripAnalysis=1<>socket_socket_settimeout=1<>NLTK_regexp_span_tokenize=1<>Requests_DataMustOpenInBinary=1,93,WrongTypeAddedAnalysis=check_append=17<>WrongTypeAddedAnalysis=check_insert=17<>WrongTypeAddedAnalysis=check_extend=17<>WrongTypeAddedAnalysis=check_add=17<>WrongTypeAddedAnalysis=check_add_assign=4<>StringConcatAnalysis=add=4<>BuiltinAllAnalysis=violation=16<>InPlaceSortAnalysis=end_execution=1,1768888817.1563046,1768888820.674189,x,1768888820.0596356,1768888820.0672348,x,x,0.009383,1768888819.945035
Adeniyilowee-CI-CD-with-Github-Actions,dynapyt,11,0,1,2,0,0,0.12,dynapyt,377.78087973594666,0.0,0.9161684513092041,0.0,378.69704818725586,46720,0,,0,,,x,,x,,1768888782.345269,1768888783.2614374,1768888404.5402675,1768888782.3211472,x,x,x,x,x
Adeniyilowee-CI-CD-with-Github-Actions,dylin,11,0,1,2,0,0,0.13,dylin,373.02076148986816,0.0,0.9401359558105469,0.3646240234375,373.9608974456787,46896,0,,0,,,x,,x,,1768889292.0486636,1768889292.9887996,1768888918.9995515,1768889292.020313,x,1768889293.0187442,1768889293.3833683,x,x
Adeniyilowee-CI-CD-with-Github-Actions,D,11,0,1,2,0,0,3.06,pymop_libs,6.288128551467896,0.00865936279296875,5.696892086044311,0.0,11.993680000305176,186788,0,,0,,,25,UnsafeListIterator=1<>Console_CloseReader=1<>WrongTypeAddedAnalysis=1<>Arrays_Comparable=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>Session_DataMustOpenInBinary=1<>StringConcatAnalysis=1<>Console_CloseWriter=1<>BuiltinAllAnalysis=1<>InPlaceSortAnalysis=1<>Thread_OverrideRun=1<>socket_setdefaulttimeout=1<>ItemInList=1<>Console_CloseErrorWriter=1<>socket_create_connection=1<>HostnamesTerminatesWithSlash=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>Sets_Comparable=1<>PriorityQueue_NonComparable=1<>RandomRandrange_MustNotUseKwargs=1<>RandomParams_NoPositives=1<>StringStripAnalysis=1<>socket_socket_settimeout=1<>NLTK_regexp_span_tokenize=1<>Requests_DataMustOpenInBinary=1,582937,UnsafeListIterator=for_loop_start=8921<>UnsafeListIterator=end_loop_list_changed=8923<>WrongTypeAddedAnalysis=check_append=109335<>WrongTypeAddedAnalysis=check_insert=109335<>WrongTypeAddedAnalysis=check_extend=109335<>WrongTypeAddedAnalysis=check_add=109335<>WrongTypeAddedAnalysis=check_add_assign=3968<>Arrays_Comparable=invalid_sorted=61<>StringConcatAnalysis=add=3968<>BuiltinAllAnalysis=violation=107267<>InPlaceSortAnalysis=list_sorted=61<>InPlaceSortAnalysis=list_used=11544<>InPlaceSortAnalysis=end_execution=1<>ItemInList=list_contains=419<>Sets_Comparable=invalid_sorted=61<>StringStripAnalysis=strip=403,1768890368.6568675,1768890380.6505475,x,1768890372.664437,1768890372.6730964,x,x,2.280559,1768890371.1485107
Adeniyilowee-CI-CD-with-Github-Actions,dynapyt_libs,11,0,1,2,0,0,3.51,dynapyt_libs,2403.8708403110504,0.0,8.059982538223267,0.0,2411.9308228492737,58308,0,,0,,,x,,x,,1768892852.7922533,1768892860.8522358,1768890442.807539,1768892846.6783793,x,x,x,x,x
