project,type,status,spec_name,filename,line,PRs
suds-community-suds,project,PR Accepted,ItemInList,suds/properties.py,74,https://github.com/suds-community/suds/pull/112
marshmallow-code-apispec,project,PR Accepted,ItemInList,src/apispec/ext/marshmallow/common.py,105,https://github.com/marshmallow-code/apispec/pull/972
pdyba-lambdalizator,project,PR Accepted,ItemInList,tests/test_exceptions.py,76,https://github.com/pdyba/lambdalizator/pull/108
durableOne-orgmunge,project,PR Accepted,ItemInList,src/orgmunge/classes.py,161,https://github.com/durableOne/orgmunge/pull/18
dbischof90-sdetools,project,PR Accepted,ItemInList,sde.py,55,https://github.com/dbischof90/sdetools/pull/1
Telefonica-HomePWN,project,PR Accepted,ItemInList,tests/test_utils.py,102,https://github.com/Telefonica/HomePWN/pull/42
Aggify-aggify,project,PR Opened,ItemInList,tests/test_aggify.py,665,https://github.com/Aggify/aggify/pull/151
samdmarshall-pbPlist,project,PR Opened,ItemInList,pbPlist/pbRoot.py,74,https://github.com/samdmarshall/pbPlist/pull/11
pandas-dev-pandas,library,PR Accepted,ItemInList,pandas/io/parsers/c_parser_wrapper.py,262,https://github.com/pandas-dev/pandas/pull/61046
cisagov-clamav-report,library,PR Accepted,Logging_MustNotLogAfterShutdown,clamav_report/clamav_report.py,269,https://github.com/cisagov/clamav-report/pull/50
cisagov-clamav-report,library,PR Accepted,Logging_MustNotLogAfterShutdown,clamav_report/clamav_report.py,114,https://github.com/cisagov/clamav-report/pull/50
cisagov-clamav-report,library,PR Accepted,Logging_MustNotLogAfterShutdown,clamav_report/clamav_report.py,168,https://github.com/cisagov/clamav-report/pull/50
cisagov-clamav-report,library,PR Accepted,Logging_MustNotLogAfterShutdown,clamav_report/clamav_report.py,76,https://github.com/cisagov/clamav-report/pull/50
cisagov-clamav-report,library,PR Accepted,Logging_MustNotLogAfterShutdown,clamav_report/clamav_report.py,174,https://github.com/cisagov/clamav-report/pull/50
cisagov-clamav-report,library,PR Accepted,Logging_MustNotLogAfterShutdown,clamav_report/clamav_report.py,178,https://github.com/cisagov/clamav-report/pull/50
cisagov-clamav-report,library,PR Accepted,Logging_MustNotLogAfterShutdown,clamav_report/clamav_report.py,282,https://github.com/cisagov/clamav-report/pull/50
AliAkhtari78-SpotifyScraper,project,False Positive,Pydocs_MustCloseSocket,pythonmop/pymop-startup-helper/sitecustomize.py,1901,
jdotpy-streamline,project,PR Opened,Pydocs_MustCloseSocket,pythonmop/pymop-startup-helper/sitecustomize.py,1901,https://github.com/jdotpy/streamline/pull/2
python-trio-trustme,project,PR Rejected,Pydocs_MustShutdownBeforeCloseSocket,tests/test_trustme.py,329,https://github.com/python-trio/trustme/pull/698
python-trio-trustme,project,PR Rejected,Pydocs_MustShutdownBeforeCloseSocket,tests/test_trustme.py,318,https://github.com/python-trio/trustme/pull/698
python-trio-trustme,project,PR Rejected,Pydocs_MustShutdownBeforeCloseSocket,tests/test_trustme.py,304,https://github.com/python-trio/trustme/pull/698
python-trio-trustme,project,PR Rejected,Pydocs_MustShutdownBeforeCloseSocket,tests/test_trustme.py,313,https://github.com/python-trio/trustme/pull/698
python-trio-trustme,project,PR Rejected,Pydocs_MustShutdownBeforeCloseSocket,tests/test_trustme.py,299,https://github.com/python-trio/trustme/pull/698
Hi-Dolphin-datamax,library,False Positive,Pydocs_MustShutdownBeforeCloseSocket,aliyunsdkcore/vendored/requests/packages/urllib3/util/connection.py,130,
SeleniumHQ-selenium,project,PR Accepted,Pydocs_MustShutdownBeforeCloseSocket,py/selenium/webdriver/common/utils.py,107,https://github.com/SeleniumHQ/selenium/pull/15453
clbarnes-f_it,project,False Positive,PyDocs_MustSortBeforeGroupBy,f_it/fit.py,389,
clbarnes-f_it,project,PR Opened,PyDocs_MustSortBeforeGroupBy,tests/test_fit.py,260,https://github.com/clbarnes/f_it/pull/154
mpopt-mpopt,project,False Positive,PyDocs_MustSortBeforeGroupBy,mpopt/mpopt.py,2685,
Toilal-rebulk,project,False Positive,PyDocs_MustSortBeforeGroupBy,rebulk/rules.py,300,
